Count of Medal,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,MON,MAR,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BOT,BRA,BRN,BUL,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CYP,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,GAB,GBR,GDR,GEO,GER,GHA,GRE,GRN,GUA,GUY,HAI,HKG,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KOS,KSA,KUW,LAT,LIB,LIE,LTU,LUX,MAS,MDA,MEX,MGL,MKD,MNE,MOZ,MRI,NAM,NED,NEP,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RUS,SCG,SEN,SGP,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TTO,TUN,TUR,UAE,UAR,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,WIF,YUG,ZAM,ZIM,(blank),Grand Total
1996,,2,,,3,,20,2,132,3,1,5,,1,6,,23,,,63,,21,50,,106,,,,1,28,55,,13,23,,,1,,,66,,3,,,4,51,,,26,,2,124,,8,,,,,1,43,6,1,,3,4,,,1,,71,16,,42,11,8,,66,,,,1,,,11,,3,3,1,1,,,1,,2,73,,24,,23,9,,,,,1,22,3,5,1,,38,5,115,26,,,2,,,,11,,3,31,1,,,1,2,,,1,2,1,6,,,1,34,,,259,2,,,,,1,,,1842
1998,,,,,,,,,1,20,,,,,1,,2,,,,,1,49,,14,,,,,,,,23,5,,,,,,,,,,,58,15,,,4,,,44,,,,,,,,,,,,,,,,,,17,,,13,2,,,12,,,,,,,,,,,,,,,,,,11,,,,40,,,,,,,,,,,,,,52,,,,,,,,14,,,7,,,,,,,,,,,,,,,1,,,34,,,,,,,,,440
2000,,5,,,5,,20,1,183,4,3,11,1,,7,,22,,,48,,13,31,17,79,,18,1,2,10,65,,9,25,,,,,,42,3,8,,,5,66,,,54,,6,118,,18,,,,,,53,8,1,,4,1,,1,1,,65,23,,44,7,7,1,73,,2,1,3,,,17,,,2,6,,1,,1,,,79,,8,,43,4,,,,,,24,2,4,,1,46,5,187,25,,,3,,1,,14,,6,32,,,,,3,,,5,2,,5,,,,35,,1,242,4,,1,,,,,,2004
2002,,,,,,,,,2,20,,,,,,,1,,,,,3,74,,16,,,,,4,,,3,,,,,,,,3,,,,13,15,,,6,,,61,,,,,,,,,,,,,,,,,,21,,,2,,,,7,,,,,,,,,,,,,,,,,,8,,,,41,,,,,,,2,,,,,,,38,,,,4,,,,24,,,26,,,,,,,,,,,,,,,,,,84,,,,,,,,,478
2004,,3,,,,,49,,157,8,5,2,,,3,,15,,,40,,17,17,4,94,,1,2,,21,62,,13,29,,1,,5,1,30,3,7,,,2,53,,,57,,4,149,,31,,,,,2,40,5,1,,6,,,,2,,104,13,,93,8,7,,52,,,,4,,,3,,,,4,1,,,,,,77,,8,,7,6,,,17,,,12,3,5,,,39,10,189,13,,,5,,,,7,,10,12,1,,,,8,,,9,1,,11,1,,,47,,,263,5,2,,,,,3,,2001
2006,,,,,,,,,2,30,,,,,,,1,,,,,1,69,,13,,,,,3,,,27,,,,,,,,3,,,,41,15,,,1,,,54,,,,,,,,,,,,,,,,,,25,,,1,,,,19,,,,1,,,,,,,,,,,,,,13,,,,23,,,,,,,2,,,,,,,41,,,,,,,,21,,1,64,,,,,,,,,,,,,,,3,,,52,,,,,,,,,526
2008,,2,1,,2,,51,6,149,3,7,7,,,5,,29,,,78,,5,35,1,184,,1,2,,5,47,,7,19,,2,1,1,,70,3,7,,,5,77,,,81,,6,99,,7,,,,,,27,7,3,,2,3,,14,1,,42,14,,51,13,15,2,78,,,,3,,,5,,1,1,4,4,,,,1,,61,,23,,22,15,,1,,,,20,2,6,,,22,1,142,,,3,5,15,,1,11,,10,7,,,,,4,2,1,4,6,1,7,,,,31,,,317,6,1,1,,,,4,,2048
2010,,,,,,,,,3,26,,,,,,,3,,,,,,90,,19,,,,,3,,,9,,,,,,,,1,,,,47,14,,,1,,,54,,,,,,,,,,,,,,,,,,5,,,7,1,,,18,,,,3,,,,,,,,,,,,,,11,,,,39,,,,,,,8,,,,,,,25,,,,3,,,,12,,3,18,,,,,,,,,,,,,,,,,,97,,,,,,,,,520
2012,,1,1,,1,,19,3,114,,10,4,,,3,,23,,1,59,1,2,55,,125,,,8,,35,14,1,14,16,,2,,2,,63,2,7,,,5,82,,1,126,,7,94,,3,1,1,,,1,26,2,6,,12,5,,,,,68,25,,84,13,11,,61,,4,1,3,,,5,,2,2,24,5,,14,,,,69,,,,17,27,,,,,,12,2,6,2,2,16,9,140,,,4,5,16,,,4,,5,22,,,,,3,1,,2,10,3,5,,,1,26,,,248,3,1,,,,,,,1941
2014,,,,,,,,,3,27,,,,,,,6,,,,,,86,,12,,,,,1,,,11,,,,,,,,,,,,33,18,,,10,,,36,,,,,,,,,,,,,,,,,,14,,,11,1,,,14,,,,11,,,,,,,,,,,,,,29,,,,36,,,,,,,11,,,,,,,68,,,,8,,,,30,,1,51,,,,,,,,,,,,,,,5,,,64,,,,,,,,,597
2016,,1,,,2,,22,4,82,2,18,6,,1,21,,12,,,50,2,7,69,,113,2,,8,,24,11,,15,41,,1,,3,,45,4,8,,13,1,96,,,145,,7,159,,7,1,,,,,22,4,2,2,8,3,,,2,,72,30,1,64,18,13,,26,1,,,,,,7,,8,,5,2,,,,,,47,,18,1,19,36,,,,,1,16,1,7,1,1,16,23,115,,,1,4,54,,,11,,8,28,,,,,6,1,,5,1,3,8,1,,,15,,,264,13,3,2,,,,,,2023
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,1,23,2,1,17,29,274,16,1320,450,44,40,1,2,468,1,139,12,1,475,3,342,1352,32,989,3,22,28,4,149,409,1,144,597,1,7,2,27,1,489,50,53,279,13,900,1777,586,1,2068,1005,32,2165,23,255,2,1,1,7,4,1135,41,197,5,68,35,1,17,9,1,1637,157,1,913,77,106,3,638,1,6,2,35,4,9,61,8,16,8,110,26,1,14,2,1,4,1040,1,99,2,1033,228,121,3,17,15,10,565,41,67,9,5,653,131,1165,64,1,9,48,85,2,1,691,2,47,1536,3,2,488,1,30,4,1,49,32,13,95,2,2,7,199,2503,63,5637,34,15,4,5,390,2,22,,39783
